id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
04HJIfLxIrxYsIHneUuDre,0.493,0.711,5,-5.994,1,0.0684,0.00496,2.71e-05,0.519,0.313,138.032,4
2j1GZkUfbUpTjyETN9WRX7,0.592,0.8,7,-6.086,1,0.0285,0.0225,6.35e-05,0.17,0.838,138.759,4
3IMUCgc92c7ciudifIGkLf,0.678,0.612,4,-9.051,0,0.0291,0.793,0.00647,0.0945,0.589,101.046,4
6qzA5ZUivvw1FCZJSVYoNE,0.574,0.691,6,-7.805,0,0.0336,0.0142,0.000431,0.169,0.767,95.009,4
3mi8QE4ZiwcsvnDPMWSxu2,0.505,0.255,1,-9.576,1,0.0663,0.831,2.45e-06,0.24,0.343,109.94,4
0lcwE4dOsg3HB2BiUJxurh,0.505,0.928,5,-5.457,0,0.0319,0.000193,0.134,0.205,0.513,138.023,4
6TkpT2UvBKiuPlb3LVHjaq,0.535,0.605,5,-9.144,0,0.287,0.51,0.286,0.188,0.662,202.06,4
4GseyfbqLyCeaUeXOmsCY2,0.106,0.116,0,-14.665,1,0.035,0.933,0.931,0.0994,0.0621,58.5,4
4sOry3HX4ODi1ffGjDoY2R,0.403,0.614,5,-8.007,0,0.0735,0.00118,0.0018,0.315,0.496,84.964,4
1sSvW3qRh5Om9Bzn6ohWE1,0.543,0.927,0,-5.209,1,0.0755,0.000342,0.543,0.0327,0.354,120.097,4
376W9y1HicyWrGiHInYdzZ,0.428,0.938,4,-5.434,0,0.148,0.0144,0.0,0.372,0.18,105.691,4
64i03glFGAz9KrD1SMaeBj,0.377,0.976,6,-3.686,0,0.217,0.000107,0.0936,0.142,0.264,116.062,4
5rPKOVZtsRfdTuLWnnGrrY,0.593,0.756,2,-7.287,1,0.0548,0.0454,0.00201,0.311,0.283,103.12,4
4dhMpUABlcPh8lPt2LaSlB,0.28,0.406,8,-8.106,1,0.0312,0.507,0.0975,0.117,0.188,172.765,4
7h4qasm8leGPBNXiodoGyG,0.866,0.48,5,-11.812,0,0.155,0.206,0.000163,0.0993,0.566,144.905,4
5rGD8FFgHw74cp3RPhucyg,0.415,0.72,7,-11.177,1,0.0492,0.481,0.0,0.185,0.619,176.785,4
1KKuoYESWoUGsau6YYoEMl,0.14,0.641,0,-10.435,1,0.0422,0.000243,0.837,0.108,0.352,170.207,4
6RYlGPwrNuwG8CqIRDYes6,0.572,0.747,10,-6.237,1,0.0943,0.13,2.93e-05,0.108,0.3,158.051,4
0cHDJ22uxvHMUXXg1oJnUh,0.41,0.0123,0,-29.161,0,0.0419,0.993,0.9,0.0871,0.0355,119.505,4
0P8qMJDuy4wv4sHIHqZgkG,0.0765,0.0521,5,-18.188,0,0.0431,0.826,0.886,0.092,0.0271,80.809,3
